Modulus of Elasticity,Density,"Tensile Strength, Yield",Classification
44.8,1.77,110,0
45,1.8,131,0
44.8,1.8,131,0
45,1.8,131,0
45,1.78,130,0
45,1.78,117,0
45,1.77,150,0
45,1.78,138,0
45,1.78,138,0
45,1.77,150,0
45,1.76,155,0
45,1.77,200,0
45,1.77,200,0
45,1.77,150,0
45,1.77,220,0
45,1.77,165,0
45,1.77,170,0
45,1.77,190,0
69,2.7,103,1
69,2.7,124,1
69,2.7,145,1
69,2.7,28,1
69,2.7,17,1
68.9,2.7,51.9,1
68.9,2.7,79.8,1
68.9,2.7,103,1
68.9,2.7,103.5,1
68.9,2.7,22.3,1
69,2.71,35,1
68.9,2.71,89,1
68.9,2.71,106,1
68.9,2.71,126.5,1
68.9,2.71,151,1
69,2.71,165,1
68.9,2.71,27.25,1
69,2.7,115,1
69,2.7,145,1
69,2.7,35,1
67,2.7,115,1
67,2.7,20,1
62,2.7,110,1
62,2.7,10,1
69,2.7,145,1
69,2.7,30,1
69,2.7,25,1
200,7.87,434,2
200,7.87,565,2
200,7.87,558,2
200,7.87,524,2
200,7.87,496,2
200,7.87,910,2
200,7.87,834,2
200,7.87,579,2
200,7.87,572,2
200,7.87,814,2
200,7.87,676,2
200,7.87,565,2
200,7.87,490,2
200,7.87,745,2
200,7.87,662,2
200,7.87,552,2
200,7.87,496,2
200,7.87,434,2
200,7.87,565,2
200,7.87,558,2
200,7.87,524,2
200,7.87,496,2
200,7.87,910,2
200,7.87,834,2
200,7.87,579,2
200,7.87,572,2
200,7.87,814,2
200,7.87,676,2
200,7.87,565,2
200,7.87,490,2
200,7.87,745,2
200,7.87,662,2
200,7.87,552,2
200,7.87,496,2
415,19.3,550,3
276,17,605,3
310,17,615,3
324,17.5,579,3
310,18,586,3
345,18,621,3
365,18.5,586,3
280,17,517,3
310,18,586,3
352,17.2,607,3
365,18,621,3
338,17.3,650,3
280,17,517,3
310,18,586,3
352,17.2,607,3
365,18,621,3
255,17.2,723,3
248,16.3,724,3
241,15.6,614,3
234,14.8,524,3
276,17,550,3
310,17,610,3
324,17.5,580,3
365,17.7,655,3
310,18,590,3
345,18,620,3
365,18.5,590,3
276,17,550,3
276,17,620,3
310,17,610,3
324,17.5,580,3
365,17.7,655,3
310,18,590,3
345,18,620,3
83,6.04,205,4
83,6.04,268,4
83,6.04,320,4
97,7.1,140,4
77.9,5.02,365,4
77.9,5.02,371,4
75.75,7.17,151,4
68,5.2,352,4
93,5.2,386,4
80.5,5.2,370,4
85.5,6.3,290,4
85.5,6.3,208,4
114,4.51,900,5
114,4.48,730,5
116,4.48,760,5
114,4.54,860,5
120,4.54,990,5
115,4.84,970,5
115,4.84,880,5
125,4.45,786.5,5
120,4.37,900,5
120,4.37,1070,5
120,4.37,870,5
120,4.37,910,5
124,4.37,890.5,5
121,4.37,930,5
125,4.54,820,5
120,4.55,925,5
112,4.5,910,5
110,4.65,930,5
106,4.65,1200,5
110,4.65,1240,5
102,4.65,940,5
110,4.65,930,5
110,4.65,900,5
